Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22pF","C_0805_2012Metric",-97.409000,-75.516500,270.000000,bottom
"C2","22pF","C_0805_2012Metric",-90.932000,-73.914000,45.000000,bottom
"C3","1uF","C_0805_2012Metric",-80.962500,-77.787500,135.000000,bottom
"C4","0.1uF","C_0805_2012Metric",-86.518750,-73.025000,45.000000,bottom
"C5","0.1uF","C_0805_2012Metric",-95.250000,-88.900000,45.000000,bottom
"C6","0.1uF","C_0805_2012Metric",-83.693000,-94.742000,135.000000,bottom
"C7","10uF","C_0805_2012Metric",-77.787500,-88.900000,315.000000,bottom
"D1","SOD-123","D_SOD-123",-35.718750,-52.387500,90.000000,bottom
"D2","SOD-123","D_SOD-123",-54.768750,-52.387500,90.000000,bottom
"D3","SOD-123","D_SOD-123",-73.818750,-52.387500,90.000000,bottom
"D4","SOD-123","D_SOD-123",-102.393750,-52.387500,90.000000,bottom
"D5","SOD-123","D_SOD-123",-121.443750,-52.387500,90.000000,bottom
"D6","SOD-123","D_SOD-123",-140.493750,-52.387500,90.000000,bottom
"D7","SOD-123","D_SOD-123",-159.543750,-52.387500,90.000000,bottom
"D8","SOD-123","D_SOD-123",-178.593750,-52.387500,90.000000,bottom
"D9","SOD-123","D_SOD-123",-197.643750,-52.387500,90.000000,bottom
"D10","SOD-123","D_SOD-123",-216.693750,-52.387500,90.000000,bottom
"D11","SOD-123","D_SOD-123",-235.743750,-52.387500,90.000000,bottom
"D12","SOD-123","D_SOD-123",-254.793750,-52.387500,90.000000,bottom
"D13","SOD-123","D_SOD-123",-273.843750,-52.387500,90.000000,bottom
"D14","SOD-123","D_SOD-123",-292.893750,-52.387500,90.000000,bottom
"D15","SOD-123","D_SOD-123",-316.706250,-52.387500,90.000000,bottom
"D16","SOD-123","D_SOD-123",-35.718750,-71.437500,90.000000,bottom
"D17","SOD-123","D_SOD-123",-54.768750,-71.437500,90.000000,bottom
"D18","SOD-123","D_SOD-123",-73.818750,-71.437500,90.000000,bottom
"D19","SOD-123","D_SOD-123",-104.775000,-71.437500,90.000000,bottom
"D20","SOD-123","D_SOD-123",-126.206250,-71.437500,90.000000,bottom
"D21","SOD-123","D_SOD-123",-145.256250,-71.437500,90.000000,bottom
"D22","SOD-123","D_SOD-123",-164.306250,-71.437500,90.000000,bottom
"D23","SOD-123","D_SOD-123",-183.356250,-71.437500,90.000000,bottom
"D24","SOD-123","D_SOD-123",-202.406250,-71.437500,90.000000,bottom
"D25","SOD-123","D_SOD-123",-221.456250,-71.437500,90.000000,bottom
"D26","SOD-123","D_SOD-123",-240.506250,-71.437500,90.000000,bottom
"D27","SOD-123","D_SOD-123",-259.556250,-71.437500,90.000000,bottom
"D28","SOD-123","D_SOD-123",-278.606250,-71.437500,90.000000,bottom
"D29","SOD-123","D_SOD-123",-297.656250,-71.437500,90.000000,bottom
"D30","SOD-123","D_SOD-123",-319.087500,-71.437500,90.000000,bottom
"D31","SOD-123","D_SOD-123",-35.718750,-90.487500,90.000000,bottom
"D32","SOD-123","D_SOD-123",-54.768750,-90.487500,90.000000,bottom
"D33","SOD-123","D_SOD-123",-73.818750,-90.487500,90.000000,bottom
"D34","SOD-123","D_SOD-123",-107.156250,-90.487500,90.000000,bottom
"D35","SOD-123","D_SOD-123",-130.968750,-90.487500,90.000000,bottom
"D36","SOD-123","D_SOD-123",-150.018750,-90.487500,90.000000,bottom
"D37","SOD-123","D_SOD-123",-169.068750,-90.487500,90.000000,bottom
"D38","SOD-123","D_SOD-123",-188.118750,-90.487500,90.000000,bottom
"D39","SOD-123","D_SOD-123",-207.168750,-90.487500,90.000000,bottom
"D40","SOD-123","D_SOD-123",-226.218750,-90.487500,90.000000,bottom
"D41","SOD-123","D_SOD-123",-245.268750,-90.487500,90.000000,bottom
"D42","SOD-123","D_SOD-123",-264.318750,-90.487500,90.000000,bottom
"D43","SOD-123","D_SOD-123",-283.368750,-90.487500,90.000000,bottom
"D44","SOD-123","D_SOD-123",-302.418750,-90.487500,90.000000,bottom
"D45","SOD-123","D_SOD-123",-321.468750,-90.487500,90.000000,bottom
"D46","SOD-123","D_SOD-123",-35.718750,-109.537500,90.000000,bottom
"D47","SOD-123","D_SOD-123",-54.768750,-109.537500,90.000000,bottom
"D48","SOD-123","D_SOD-123",-73.818750,-109.537500,90.000000,bottom
"D49","SOD-123","D_SOD-123",-102.393750,-109.537500,90.000000,bottom
"D50","SOD-123","D_SOD-123",-121.443750,-109.537500,90.000000,bottom
"D51","SOD-123","D_SOD-123",-140.493750,-109.537500,90.000000,bottom
"D52","SOD-123","D_SOD-123",-159.543750,-109.537500,90.000000,bottom
"D53","SOD-123","D_SOD-123",-180.975000,-109.537500,90.000000,bottom
"D54","SOD-123","D_SOD-123",-211.931250,-109.537500,90.000000,bottom
"D55","SOD-123","D_SOD-123",-242.887500,-109.537500,90.000000,bottom
"D56","SOD-123","D_SOD-123",-264.318750,-109.537500,90.000000,bottom
"D57","SOD-123","D_SOD-123",-283.368750,-109.537500,90.000000,bottom
"D58","SOD-123","D_SOD-123",-302.418750,-109.537500,90.000000,bottom
"D59","SOD-123","D_SOD-123",-321.468750,-109.537500,90.000000,bottom
"F1","500mA","Fuse_1206_3216Metric",-79.756000,-58.293000,0.000000,bottom
"R1","10k","R_0805_2012Metric",-83.466913,-76.069163,225.000000,bottom
"R2","22","R_0805_2012Metric",-87.312500,-53.975000,90.000000,bottom
"R3","22","R_0805_2012Metric",-80.962500,-53.975000,90.000000,bottom
"R4","10k","R_0805_2012Metric",-88.900000,-95.250000,45.000000,bottom
"R5","5.1k","R_0805_2012Metric",-78.581250,-53.975000,90.000000,bottom
"R6","5.1k","R_0805_2012Metric",-89.693750,-53.975000,90.000000,bottom
"SW1","SW_Push","SKQG-1155865",-97.028000,-59.237000,0.000000,bottom
"U1","ATmega32U4-AU","TQFP-44_10x10mm_P0.8mm",-86.518750,-85.725000,315.000000,bottom
"U2","SRV05-4","SOT-23-6",-84.137500,-51.435000,270.000000,bottom
"USB1","HRO-TYPE-C-31-M-12","HRO-TYPE-C-31-M-12",-84.137500,-36.512500,0.000000,bottom
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",-93.853000,-76.454000,180.000000,bottom
